semester,group,n_students,feature,raw_feature,family,mean_abs_shap,mean_shap
0,Performing,88,MediumAL_S,categorical__MediumAL_S,Demographic,0.04969618058785066,0.00451555658430327
0,Performing,88,MediumAL_T,categorical__MediumAL_T,Demographic,0.030803418409882485,0.00293699283053611
0,Performing,88,District_Kegalle,categorical__District_Kegalle,Demographic,0.008092688905879252,0.008092688905879252
0,Performing,88,District_Puttalam,categorical__District_Puttalam,Demographic,0.002100516595530472,-0.002100516595530472
0,Performing,88,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.0008706381299400521,-0.0008706381299400521
1,Underperforming,46,Zscore,numeric__Zscore,Pre-academic,0.009093903894455763,-0.0035357612655915337
1,Underperforming,46,English,numeric__English,Pre-academic,0.05395634712155332,-0.039126309949504556
1,Underperforming,46,S1,numeric__S1,Semester GPA,0.39079397622190787,-0.38925234172093154
1,Underperforming,46,Missing: English,numeric__missingindicator_English,Pre-academic,0.005806134791638128,0.0003387263466600285
1,Underperforming,46,Gender_M,categorical__Gender_M,Demographic,0.02218928755076671,-0.00874934742425845
1,Underperforming,46,Department_BPM,categorical__Department_BPM,Demographic,0.024770691943983517,-0.005455882722884025
1,Underperforming,46,Department_FSM,categorical__Department_FSM,Demographic,0.008981956055731244,0.006182299367921218
1,Underperforming,46,District_Badulla,categorical__District_Badulla,Demographic,0.012568435883552153,0.0039020468333911297
1,Underperforming,46,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.0001476210336498759,0.0001476210336498759
1,Underperforming,46,District_Colombo,categorical__District_Colombo,Demographic,0.004700123114323778,0.003424224383867796
1,Underperforming,46,District_Galle,categorical__District_Galle,Demographic,0.0017546480966382934,0.001344088928243291
1,Underperforming,46,District_Gampaha,categorical__District_Gampaha,Demographic,0.018850590106790716,-0.0003262762980759644
1,Underperforming,46,District_Kalutara,categorical__District_Kalutara,Demographic,0.006893657990816424,-0.002406002609956484
1,Underperforming,46,District_Kandy,categorical__District_Kandy,Demographic,0.0008892907570379702,0.0008803489657982902
1,Underperforming,46,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.009977924147942185,0.004119667282671993
1,Underperforming,46,District_Matara,categorical__District_Matara,Demographic,0.007111767738101251,0.0008003464709452937
1,Underperforming,46,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.004358749523207231,0.003152367991636942
1,Underperforming,46,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.008656254820874511,0.0024804028749367026
1,Underperforming,46,MediumAL_S,categorical__MediumAL_S,Demographic,0.008018390400518282,-0.0007662066019980772
1,Underperforming,46,MediumAL_T,categorical__MediumAL_T,Demographic,0.018080309083228028,-0.008383845541731634
1,Underperforming,46,District_Kegalle,categorical__District_Kegalle,Demographic,0.02114917390650178,-0.0044066206634650025
1,Underperforming,46,District_Puttalam,categorical__District_Puttalam,Demographic,0.0011695539536413805,-0.0011695539536413805
1,Underperforming,46,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.0007391292263776334,-0.0007391292263776334
1,Average,43,Zscore,numeric__Zscore,Pre-academic,0.009998930598203969,-0.00011255490939495435
1,Average,43,English,numeric__English,Pre-academic,0.024620190323343682,-0.0075559036304547154
1,Average,43,S1,numeric__S1,Semester GPA,0.17308602773146028,-0.0741337419562532
1,Average,43,Missing: English,numeric__missingindicator_English,Pre-academic,0.002311904454422403,-0.0017886864952815701
1,Average,43,Gender_M,categorical__Gender_M,Demographic,0.02172378971968836,-0.006509828007616891
1,Average,43,Department_BPM,categorical__Department_BPM,Demographic,0.02449695565991864,-0.005332799046297164
1,Average,43,Department_FSM,categorical__Department_FSM,Demographic,0.011362832222590531,0.0032133631692098704
1,Average,43,District_Badulla,categorical__District_Badulla,Demographic,0.006335037099376079,-0.003049434081149619
1,Average,43,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.0001579201755324254,0.0001579201755324254
1,Average,43,District_Colombo,categorical__District_Colombo,Demographic,0.006664690864821802,-3.68085146306798e-05
1,Average,43,District_Galle,categorical__District_Galle,Demographic,0.006975846671767181,-0.001596789211223861
1,Average,43,District_Gampaha,categorical__District_Gampaha,Demographic,0.015356825291101057,-0.004507211351134932
1,Average,43,District_Kalutara,categorical__District_Kalutara,Demographic,0.005842873856082508,-0.0038141874892778345
1,Average,43,District_Kandy,categorical__District_Kandy,Demographic,0.0011631161553175085,0.0005832715860970644
1,Average,43,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.004400403219254247,-0.0018190721096917784
1,Average,43,District_Matara,categorical__District_Matara,Demographic,0.007379644246494082,0.0012963061588612433
1,Average,43,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.008707077993906232,-0.004500764284611815
1,Average,43,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.007705888549141158,0.0009530607045136042
1,Average,43,MediumAL_S,categorical__MediumAL_S,Demographic,0.007010215058142506,0.002141344122114868
1,Average,43,MediumAL_T,categorical__MediumAL_T,Demographic,0.013526739523892828,-0.0017396394250665552
1,Average,43,District_Kegalle,categorical__District_Kegalle,Demographic,0.01563830024881383,0.0011404199851131956
1,Average,43,District_Puttalam,categorical__District_Puttalam,Demographic,0.0011215372316720322,-0.0011215372316720322
1,Average,43,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.0007906963817063055,-0.0007906963817063055
1,Performing,88,Zscore,numeric__Zscore,Pre-academic,0.009184149700342264,0.0030834495681758656
1,Performing,88,English,numeric__English,Pre-academic,0.04395805812765985,0.025507174245180605
1,Performing,88,S1,numeric__S1,Semester GPA,0.27454703428406896,0.23772144504427137
1,Performing,88,Missing: English,numeric__missingindicator_English,Pre-academic,0.004638762870517225,0.0007339787034406076
1,Performing,88,Gender_M,categorical__Gender_M,Demographic,0.019067607007657122,0.006411183575554721
1,Performing,88,Department_BPM,categorical__Department_BPM,Demographic,0.02339915149338203,0.00511535372544846
