semester,group,family,mean_abs_shap,mean_shap
0,Underperforming,Pre-academic,0.23319189511932994,-0.17462668255858202
0,Underperforming,Demographic,0.15207434110861873,-0.08710436083884245
0,Average,Pre-academic,0.10613855554625672,-0.029949098787574787
0,Average,Demographic,0.11979720956983479,-0.05811788808856851
0,Performing,Pre-academic,0.183354692992602,0.1046605286513013
0,Performing,Demographic,0.12819068833612582,0.06711609922347556
1,Underperforming,Pre-academic,0.06266310370166832,-0.042323344868436065
1,Underperforming,Semester GPA,0.39079397622190787,-0.38925234172093154
1,Underperforming,Demographic,0.07216976038243846,-0.005969450909326115
1,Average,Pre-academic,0.028663579247581953,-0.00945714503513124
1,Average,Semester GPA,0.17308602773146028,-0.0741337419562532
1,Average,Demographic,0.05429820457713112,-0.025333081232637195
1,Performing,Pre-academic,0.050305833300074876,0.02932460251679708
1,Performing,Semester GPA,0.27454703428406896,0.23772144504427137
1,Performing,Demographic,0.05755112480887262,0.017175444426961634
2,Underperforming,Pre-academic,0.07205737095481368,-0.0541451920938409
2,Underperforming,Semester GPA,0.47549009488165234,-0.47549009488165234
2,Underperforming,Module grade,0.03320010201322355,0.008980121100839062
2,Underperforming,Demographic,0.05507100724333198,0.008591764093416164
2,Average,Pre-academic,0.030597372494243682,-0.0073629055390310415
2,Average,Semester GPA,0.17357184678076,-0.07754805665185303
2,Average,Module grade,0.026553091195598538,0.005022739642945587
2,Average,Demographic,0.046011071398657254,-0.006724370511997385
2,Performing,Pre-academic,0.05445025382270678,0.03297178401130723
2,Performing,Semester GPA,0.30377244371465967,0.2869589873533914
2,Performing,Module grade,0.033108319252817695,-0.0058023495427097895
2,Performing,Demographic,0.06060810673766551,0.0011529406321552
3,Underperforming,Pre-academic,0.021175437732766648,-0.00484272845312998
3,Underperforming,Semester GPA,0.5500993354961186,-0.5404088936194497
3,Underperforming,Module grade,0.08606763387255613,0.005746832483712343
3,Underperforming,Demographic,0.03491636256042526,0.01612681888159743
3,Average,Pre-academic,0.012312396739248426,0.0007892887769934159
3,Average,Semester GPA,0.16430834057584165,-0.0954202866011891
3,Average,Module grade,0.03976566038894353,0.01423842243171448
3,Average,Demographic,0.03460245916831817,-0.010558449009327644
3,Performing,Pre-academic,0.016403304508858498,0.0036232636527758462
3,Performing,Semester GPA,0.3492936606549506,0.33288280398497305
3,Performing,Module grade,0.03326979416877371,-0.01052385628679043
3,Performing,Demographic,0.04821759221150965,-0.0007531987735069932
4,Underperforming,Pre-academic,0.017452653279357962,-0.007063558245426725
4,Underperforming,Semester GPA,0.576349932504079,-0.567272410804942
4,Underperforming,Module grade,0.049655503638300236,0.030117557290444148
4,Underperforming,Demographic,0.02311588119134295,0.003622750999037111
4,Average,Pre-academic,0.012740751532369289,0.00014852257539392936
4,Average,Semester GPA,0.1344399824200898,-0.09648979298905663
4,Average,Module grade,0.02523524204296932,0.014612614560187656
4,Average,Demographic,0.023494002019109162,-0.0036183621160424738
4,Performing,Pre-academic,0.016570940903937542,0.006683846144567448
4,Performing,Semester GPA,0.3515588406969085,0.3428687709677673
4,Performing,Module grade,0.024820725557943547,-0.014565833359382874
4,Performing,Demographic,0.02925031137832595,-0.0033613439860017994
5,Underperforming,Pre-academic,0.02831641357166169,-0.01818612487471319
5,Underperforming,Semester GPA,0.5852034419107449,-0.5852034419107449
5,Underperforming,Module grade,0.042992228940596976,0.03278192521390744
5,Underperforming,Demographic,0.021759469416776027,0.010999473642920438
5,Average,Pre-academic,0.012770108227259196,-0.0035804538123956104
5,Average,Semester GPA,0.1304908471581491,-0.10247937226975073
5,Average,Module grade,0.024438746850236132,0.00971616352717645
5,Average,Demographic,0.021624843754337184,0.003232910163577255
5,Performing,Pre-academic,0.021144046524772833,0.012085749112075635
5,Performing,Semester GPA,0.3626048504169813,0.3570002751709683
5,Performing,Module grade,0.02684280428465068,-0.012030833245226613
5,Performing,Demographic,0.027974410748637577,-0.009660054455557242
6,Underperforming,Pre-academic,0.02565512784091135,-0.0168067671394567
6,Underperforming,Semester GPA,0.5928658753891914,-0.5928658753891914
6,Underperforming,Module grade,0.033282222314210574,0.025535330185597175
6,Underperforming,Demographic,0.013418255466162727,0.006522136032403164
6,Average,Pre-academic,0.012568734780716644,-0.0023236738843314666
6,Average,Semester GPA,0.10326049292895627,-0.0870861265437363
6,Average,Module grade,0.016909665367411023,0.003320870494184054
6,Average,Demographic,0.011066866148181717,0.0013892917635574087
6,Performing,Pre-academic,0.018449395314930925,0.010991266457648528
6,Performing,Semester GPA,0.35322063217923455,0.3512157473422442
6,Performing,Module grade,0.020641451992526136,-0.0051864698022024884
6,Performing,Demographic,0.017377026514216257,-0.004592253851888189
