semester,group,n_students,feature,raw_feature,family,mean_abs_shap,mean_shap
1,Average,43,District_Puttalam,categorical__District_Puttalam,Demographic,0.0011215372316720283,-0.0011215372316720283
1,Average,43,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.0007906963817063048,-0.0007906963817063048
1,Performing,88,Zscore,numeric__Zscore,Pre-academic,0.009184149700342264,0.003083449568175868
1,Performing,88,English,numeric__English,Pre-academic,0.04395805812765983,0.025507174245180595
1,Performing,88,S1,numeric__S1,Semester GPA,0.27454703428406907,0.23772144504427137
1,Performing,88,Missing: English,numeric__missingindicator_English,Pre-academic,0.0046387628705172,0.0007339787034406006
1,Performing,88,Gender_M,categorical__Gender_M,Demographic,0.01906760700765713,0.006411183575554722
1,Performing,88,Department_BPM,categorical__Department_BPM,Demographic,0.023399151493382005,0.005115353725448441
1,Performing,88,Department_FSM,categorical__Department_FSM,Demographic,0.014998655593164061,-0.0029679638977403748
1,Performing,88,District_Badulla,categorical__District_Badulla,Demographic,0.009801469006494699,0.0008641048957296473
1,Performing,88,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.00015433108063395848,0.00015433108063395848
1,Performing,88,District_Colombo,categorical__District_Colombo,Demographic,0.006721522135573355,0.0013571800965367531
1,Performing,88,District_Galle,categorical__District_Galle,Demographic,0.0026031834663703996,0.0004347277717665911
1,Performing,88,District_Gampaha,categorical__District_Gampaha,Demographic,0.02119669698231756,0.002910321748915619
1,Performing,88,District_Kalutara,categorical__District_Kalutara,Demographic,0.010173876270527493,0.0012279593178690558
1,Performing,88,District_Kandy,categorical__District_Kandy,Demographic,0.0024000554470428466,-0.0007276190502284139
1,Performing,88,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.005972405259545671,-0.0001465041946119086
1,Performing,88,District_Matara,categorical__District_Matara,Demographic,0.005928878133345457,-0.0004641912725629618
1,Performing,88,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.005750394398002373,-0.0013340461523215885
1,Performing,88,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.006236520330796012,-0.0016819246334915632
1,Performing,88,MediumAL_S,categorical__MediumAL_S,Demographic,0.008963746745044982,-0.0011357363809711707
1,Performing,88,MediumAL_T,categorical__MediumAL_T,Demographic,0.01154059619364098,0.00030485281968661816
1,Performing,88,District_Kegalle,categorical__District_Kegalle,Demographic,0.008710926449496502,0.008710926449496502
1,Performing,88,District_Puttalam,categorical__District_Puttalam,Demographic,0.0011277146860976988,-0.0011277146860976988
1,Performing,88,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.0007297967866506424,-0.0007297967866506424
2,Underperforming,46,Zscore,numeric__Zscore,Pre-academic,0.012710141503488493,-0.008631979401520018
2,Underperforming,46,English,numeric__English,Pre-academic,0.060394292068246654,-0.04425083538331343
2,Underperforming,46,S1,numeric__S1,Semester GPA,0.16980236683646693,-0.16894922238180052
2,Underperforming,46,S2,numeric__S2,Semester GPA,0.3108098872820095,-0.29763685415822855
2,Underperforming,46,Maths 2,numeric__Maths 2,Module grade,0.02755140447793495,0.013288159160051445
2,Underperforming,46,MgtAccounting,numeric__MgtAccounting,Module grade,0.019026425345215058,-0.01488567533678975
2,Underperforming,46,Missing: English,numeric__missingindicator_English,Pre-academic,0.0048801244059178735,-0.001545814969834109
2,Underperforming,46,Gender_M,categorical__Gender_M,Demographic,0.017010122521047027,-0.00560145868674468
2,Underperforming,46,Department_BPM,categorical__Department_BPM,Demographic,0.007911826823275648,-0.0015851217222320408
2,Underperforming,46,Department_FSM,categorical__Department_FSM,Demographic,0.02306590278610476,0.012913746348448121
2,Underperforming,46,District_Badulla,categorical__District_Badulla,Demographic,0.006984879814598749,0.00209986580145355
2,Underperforming,46,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.0004368083563029296,-0.0004368083563029296
2,Underperforming,46,District_Colombo,categorical__District_Colombo,Demographic,0.006199095222736148,0.004587052166594739
2,Underperforming,46,District_Galle,categorical__District_Galle,Demographic,0.0006511608276044996,0.00020146349150755707
2,Underperforming,46,District_Gampaha,categorical__District_Gampaha,Demographic,0.017445106925202836,-0.00025629502280130476
2,Underperforming,46,District_Kalutara,categorical__District_Kalutara,Demographic,0.006046907858479004,-0.002077254964090979
2,Underperforming,46,District_Kandy,categorical__District_Kandy,Demographic,0.002224574221083391,0.002224574221083391
2,Underperforming,46,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.0046848407356080085,0.0014431654473911306
2,Underperforming,46,District_Matara,categorical__District_Matara,Demographic,0.006725268572612651,1.757049670634716e-05
2,Underperforming,46,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.0033925637505706732,0.0019217195572071076
2,Underperforming,46,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.008097679609048858,0.0025628509093729916
2,Underperforming,46,MediumAL_S,categorical__MediumAL_S,Demographic,0.005133646819475973,5.377962099293822e-05
2,Underperforming,46,MediumAL_T,categorical__MediumAL_T,Demographic,0.011133222478746888,-0.005152518433098024
2,Underperforming,46,District_Kegalle,categorical__District_Kegalle,Demographic,0.008008358257640371,-0.002140909826958469
2,Underperforming,46,District_Puttalam,categorical__District_Puttalam,Demographic,0.0008604844605212357,-0.0008604844605212357
2,Underperforming,46,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.00030093336010259203,-0.00030093336010259203
2,Average,43,Zscore,numeric__Zscore,Pre-academic,0.00951486475770674,0.0006594744625415782
2,Average,43,English,numeric__English,Pre-academic,0.027874362417287902,-0.007989750416861894
2,Average,43,S1,numeric__S1,Semester GPA,0.07733253363151388,-0.033626543702419305
2,Average,43,S2,numeric__S2,Semester GPA,0.10570482697500072,-0.04242643015179493
2,Average,43,Maths 2,numeric__Maths 2,Module grade,0.020794313232662932,0.0030801278441479657
2,Average,43,MgtAccounting,numeric__MgtAccounting,Module grade,0.010952185244517167,-0.000421774026488218
2,Average,43,Missing: English,numeric__missingindicator_English,Pre-academic,0.0015157203774585628,1.0924978934458499e-05
2,Average,43,Gender_M,categorical__Gender_M,Demographic,0.016269356158937133,-0.0034610498482807294
2,Average,43,Department_BPM,categorical__Department_BPM,Demographic,0.008279827003456613,-0.0016521069758441917
