feature,raw_feature,mean_abs_shap,mean_shap,semester,family
District_Kegalle,categorical__District_Kegalle,0.005139714775641985,0.001180745286296132,2,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0017230478503854627,0.00015089828424964398,2,Demographic
District_Matara,categorical__District_Matara,0.005275257937956386,-0.001228484725277515,2,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.001255335166936544,-0.0005720514684774125,2,Demographic
District_Puttalam,categorical__District_Puttalam,0.0022786933641985294,-0.0010383919127993297,2,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.00019170914968557565,8.38635574219325e-06,2,Demographic
District (rare categories),categorical__District_infrequent_sklearn,0.0016967970571920865,-6.327320247389446e-05,2,Demographic
MediumAL_S,categorical__MediumAL_S,0.0021684034638762193,-0.00011454958057548189,2,Demographic
MediumAL_T,categorical__MediumAL_T,0.007937940646309033,0.00022395443829711977,2,Demographic
Zscore,numeric__Zscore,0.0124302764976033,0.0037866423305676976,3,Pre-academic
English,numeric__English,0.00297433574957253,0.00017133799476000611,3,Pre-academic
S1,numeric__S1,0.108344678467676,0.041135636092437,3,Semester GPA
S2,numeric__S2,0.15602715348939197,0.13793006954568748,3,Semester GPA
S3,numeric__S3,0.15861849361494787,-0.00904168659519773,3,Semester GPA
Maths 2,numeric__Maths 2,0.024822426839588893,-0.02444343937392753,3,Module grade
MgtAccounting,numeric__MgtAccounting,0.007658262309521645,0.006088235067832259,3,Module grade
StatsII,numeric__StatsII,0.024716814404255945,-0.009132387095320285,3,Module grade
MIS,numeric__MIS,0.005361119701579229,-0.0026619684910742622,3,Module grade
Missing: English,numeric__missingindicator_English,0.00033735424226959175,-0.00017777588700513755,3,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.024867031971713378,-0.011360976268226889,3,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.004667679269110392,0.004667679269110392,3,Module grade
Gender_M,categorical__Gender_M,0.0019672544049240464,7.939591768751781e-05,3,Demographic
Department_BPM,categorical__Department_BPM,0.010079620672867108,0.00247087977583902,3,Demographic
Department_FSM,categorical__Department_FSM,0.017343757119195117,0.003087945496943255,3,Demographic
District_Badulla,categorical__District_Badulla,0.0015656771508046204,-0.0005176835740563666,3,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0004930595218330355,-6.849763069269957e-05,3,Demographic
District_Colombo,categorical__District_Colombo,0.008154117450735021,0.0013330131863148013,3,Demographic
District_Galle,categorical__District_Galle,0.004096431332286874,-0.0006538642099284642,3,Demographic
