semester,cv_rmse_mean,cv_rmse_sd,cv_r2_mean,High-performing_rmse,High-performing_rmse_sd,High-performing_r2,High-performing_bias,Average_rmse,Average_rmse_sd,Average_r2,Average_bias,Underperforming_rmse,Underperforming_rmse_sd,Underperforming_r2,Underperforming_bias
S0,0.3461610115879023,0.05201085185901279,0.39439520732263245,0.2967665063345507,0.0532430548073564,-1.4738778922398235,0.18371455117721372,0.17071215565761455,0.03677957553626983,-3.745611508784957,-0.0027306262188629363,0.5037549185655257,0.12423341431719268,-2.7876848106038388,-0.3606618195441571
S1,0.2464330217377866,0.04085263754983716,0.6968254608188225,0.20399494830451748,0.03340148410855012,-0.19046195989171075,0.07858970797190319,0.17607346424277798,0.03658379549311033,-4.011374262692353,0.01905826195290053,0.3433848014107301,0.10266880113408247,-0.6104116308969754,-0.1666430562540941
S2,0.19697806968912077,0.0284190465352175,0.8017596028149554,0.1550737288608809,0.0271713256488576,0.2954939404201287,0.04355213582434394,0.15376629370582667,0.024636488864595216,-2.7385285723338977,0.009873371209401056,0.2786760461472522,0.06943904389843361,-0.26578588631547234,-0.08751990991209467
S3,0.17849735520693216,0.033138995008293315,0.835848624354134,0.13502761894090046,0.02175945686180585,0.4760834567860577,0.02719812176544829,0.12646424688411662,0.026664050336621038,-1.5311519389068353,0.022467066540697432,0.26167268680411643,0.08499929758827074,-0.11560611655515206,-0.06882970214231814
S4,0.1326229174185696,0.03539658748647335,0.906651112140596,0.0950958949245641,0.01649044746533858,0.7394908083213809,0.017809605875451547,0.10168485438078431,0.02922855786974725,-0.8155916333122917,0.011482698883012916,0.1906767463158384,0.08925134486231583,0.34990219343020657,-0.044014964174377925
S5,0.10802944004377568,0.03362104532115986,0.9389383237029627,0.07700338625632976,0.015285629834452167,0.8264964737321443,0.007589773484305242,0.08654420327638382,0.016127635474307612,-0.23808528605093116,0.01691626474997702,0.15212684181717112,0.08350206146708984,0.6427884016996191,-0.027390364527063702
S6,0.09266204344675405,0.02890288394445216,0.9558514412194437,0.055862877338422344,0.008932821434729827,0.90830262826693,0.007203327059741712,0.06295430600524687,0.01666508172312143,0.3272224166997716,0.004391684652144257,0.14627570106429108,0.06897358188152303,0.7084761303894234,-0.00798643144747426
