,pearson_correlation
FinalGPA,1.0
S4,0.9133067364243045
S3,0.9054486412603243
S2,0.8751207621268763
S1,0.8531699339592757
S5,0.8410858428620694
S7,0.82166868918283
S8,0.8001904161636838
S6,0.7701933542355053
StatsII,0.7512059019092875
MgtAccounting,0.66457471086591
Maths 2,0.6357584456823036
English,0.6253508637239507
DataV,0.45455060202589226
MIS,0.34913222869335203
Zscore,0.3435599327798074
