semester,model,n_features_before_encoding,cv_rmse_mean,cv_rmse_sd,cv_r2_mean,cv_bias_mean,test_rmse,test_r2,test_bias,test_Underperforming_rmse,test_Underperforming_bias,test_Average_rmse,test_Average_bias,test_Performing_rmse,test_Performing_bias
0,Ridge,6,0.34560042769304294,0.0631932989706623,0.41115722268733784,-0.001484110937001594,0.43386519290093023,0.18204971814281024,-0.038197927755138875,0.5950901314518474,-0.32469032812015297,0.4076735553153568,-0.2692376569068464,0.3420320554047693,0.18711352149771676
0,Random Forest,6,0.36412859942960707,0.06604409058049059,0.34613229255674755,-0.0016532860072044104,0.4422912743632647,0.14997043823861766,-0.010172281839131918,0.6732894601096542,-0.3837798010691395,0.3139593689147063,-0.18130937186802845,0.32985809635695845,0.23419142160225243
1,Ridge,7,0.24786262020190755,0.046866172020055705,0.6964812007157323,-0.0005303455219419344,0.3463563157618765,0.47872906633809476,-0.10475771780110595,0.5327423104924024,-0.2571710277616602,0.3447438940234332,-0.21341863559658975,0.20429720029133644,0.009691819742243925
1,Random Forest,7,0.24590088878343014,0.04176396453985144,0.7007295506685273,0.0034867289207383724,0.33119300079749,0.5233719617516296,-0.09331786511386181,0.5524267101611893,-0.31276938092663453,0.30169839657459074,-0.20811485862776472,0.15148833232151204,0.05564172001155221
2,Ridge,10,0.2009654258140369,0.032397035652602185,0.7969610562157803,6.601741819888096e-05,0.3677149960794551,0.41245657646901523,-0.2506407746139484,0.5801428857796013,-0.44902336842691826,0.3706864664748787,-0.32028046854011905,0.19424687917997424,-0.128954045891778
2,Random Forest,10,0.20791525591805476,0.04223440671014536,0.7851870258270569,-0.007838117511512872,0.3514280026806176,0.463351382495904,-0.21676179574514914,0.6010970735764324,-0.4863086890648293,0.3145848454140987,-0.28189525760974116,0.1366542454752535,-0.06262857144315766
3,Ridge,13,0.17623026968612887,0.030953825517165644,0.8411614489444799,0.0005493499420329054,0.25111216786927104,0.7259985878237487,-0.1285859643268733,0.4088080366532947,-0.23856792517567305,0.2270108925907552,-0.1607308960416174,0.13222780475517013,-0.06357954906784673
3,Random Forest,13,0.18204636909730967,0.050770952093298606,0.8355830974132921,-0.011753435504306022,0.21822737919824542,0.7930641379823704,-0.045528369543885,0.3796848456180444,-0.22226891615793884,0.12881423073868944,-0.06409875044338496,0.11435327694195499,0.046363837572670805
4,Ridge,15,0.13148385012380118,0.03542325980582487,0.9090056165293247,-0.002340221980859239,0.16502968796946318,0.8816573081887715,-0.05090077642006358,0.27109394501787437,-0.1528981079533205,0.14377161941554475,-0.0570424814757744,0.08675190657319873,0.0003917906370698621
4,Random Forest,15,0.16116974472193576,0.053782606821916164,0.8694080301762612,-0.008757386674208407,0.19308110454533758,0.8380067809440018,-0.026936626456996307,0.32347214198584223,-0.21289879466055442,0.1116432144907084,-0.03776416019764267,0.1199189496152517,0.0664396771021572
5,Ridge,16,0.10218469464449552,0.03590846357237016,0.9439468246869395,-0.003405028070266363,0.1525514592013005,0.8988769828950426,-0.08241395340655103,0.25244527516450754,-0.1663733632280884,0.13494688696107862,-0.09246255809364852,0.07600022972794641,-0.03829496691111603
5,Random Forest,16,0.1561233642369846,0.055928443527721104,0.8771820204570602,-0.009797126251529946,0.1834841277625174,0.8537101179235366,-0.0300588633148358,0.3079149938096791,-0.21103584007311568,0.10710062229781427,-0.04137705610733224,0.1129210143019644,0.061110998790287197
6,Ridge,17,0.09566856133644906,0.04386051070586724,0.949018228415297,-0.001961921171453534,0.10010565316576736,0.9564553811270075,0.007458092654478561,0.16291002699846385,-0.04301172023251456,0.0817639623835365,0.012431813657780988,0.05796419172841803,0.029793588858980334
6,Random Forest,17,0.14307395896012742,0.05289751540146416,0.8966815041286909,-0.009304086860280628,0.14682535154488177,0.9063259310725764,0.034993345200229425,0.20938826590489334,-0.05938614113699783,0.11535502249578176,0.038598423741279496,0.11830410423827412,0.07892556879649949
