cohort,students,final_gpa_mean,final_gpa_sd,underperforming,average,performing
Training (2017–2018),177,3.2514689265536725,0.4593227356112577,46,43,88
External test (2019),93,3.2730107526881724,0.4823240497980147,24,19,50
