feature,raw_feature,mean_abs_shap,mean_shap,semester,family
Gender_M,categorical__Gender_M,0.007774544414291041,0.0005477002929716618,2,Demographic
Department_BA,categorical__Department_BA,0.02071284788490822,0.007601244912547796,2,Demographic
Department_BPM,categorical__Department_BPM,0.01319718877583089,-0.003185528325200566,2,Demographic
Department_FSM,categorical__Department_FSM,0.018813321514572677,0.00481271015489069,2,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.003785261182723397,0.0002982326992448751,2,Demographic
District_Badulla,categorical__District_Badulla,0.0016060068669367896,-0.00017844520743742138,2,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0037618849437133454,-0.001163748579709886,2,Demographic
District_Colombo,categorical__District_Colombo,0.01195123139073812,0.0026533655344928857,2,Demographic
District_Galle,categorical__District_Galle,0.0021316973557568676,-0.0006289787925530947,2,Demographic
District_Gampaha,categorical__District_Gampaha,0.019304726061471957,0.01073320212375897,2,Demographic
District_Kalutara,categorical__District_Kalutara,0.008210495293282896,0.002678289908504046,2,Demographic
District_Kandy,categorical__District_Kandy,0.005553867042575144,0.00043757740335440416,2,Demographic
District_Kegalle,categorical__District_Kegalle,0.005437089137901178,0.0009197645436706458,2,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.002674683678767168,-0.00010120424730470454,2,Demographic
District_Matara,categorical__District_Matara,0.005612743714592806,-0.002502066475179924,2,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0004022259099330651,1.474126371482414e-05,2,Demographic
District_Puttalam,categorical__District_Puttalam,0.0014694506521346882,-0.0004481303407219256,2,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.0010336542176722472,0.00017946963339803796,2,Demographic
District_infrequent_sklearn,categorical__District_infrequent_sklearn,0.005414002196198614,0.00019525909560060651,2,Demographic
MediumAL_E,categorical__MediumAL_E,0.0019982306298604612,0.0006817492737170986,2,Demographic
MediumAL_S,categorical__MediumAL_S,0.005326370828653587,-0.00024369016863121074,2,Demographic
MediumAL_T,categorical__MediumAL_T,0.007161568364965347,0.0009758257125472405,2,Demographic
Zscore,numeric__Zscore,0.01230582864787982,0.0043646867495014795,3,Pre-academic
English,numeric__English,0.002684283415089911,-0.0001133325913622449,3,Pre-academic
S1,numeric__S1,0.11346722785080339,0.058199332581126174,3,Semester GPA
S2,numeric__S2,0.17382469415950189,0.16083038708491226,3,Semester GPA
S3,numeric__S3,0.15919638582449613,0.010907602850301241,3,Semester GPA
Maths 2,numeric__Maths 2,0.02760668244403311,-0.027343932275844172,3,Module grade
MgtAccounting,numeric__MgtAccounting,0.008506892638991445,0.007125802946767929,3,Module grade
StatsII,numeric__StatsII,0.025239980904038162,-0.009904098821827695,3,Module grade
MIS,numeric__MIS,0.005327783875457458,-0.0029044033241065227,3,Module grade
Missing: English,numeric__missingindicator_English,0.0002263993984902987,-6.904378819207675e-05,3,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.029505869817330884,-0.005658019410296409,3,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.006212494290320888,0.006212494290320888,3,Module grade
Gender_F,categorical__Gender_F,0.0012399210263003703,8.734982697096914e-05,3,Demographic
Gender_M,categorical__Gender_M,0.0012399210263003607,8.734982697096804e-05,3,Demographic
Department_BA,categorical__Department_BA,0.015730064008219885,0.005772652301649565,3,Demographic
Department_BPM,categorical__Department_BPM,0.003752856715899075,-0.0009058619659066739,3,Demographic
Department_FSM,categorical__Department_FSM,0.010688955538386316,0.0027343839749360294,3,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.0009958985858361958,7.846473706588245e-05,3,Demographic
District_Badulla,categorical__District_Badulla,0.0009376945543210031,-0.00010418828381344487,3,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.00040922566338907554,-0.00012659498939374307,3,Demographic
District_Colombo,categorical__District_Colombo,0.009790520736892282,0.0021736530269290855,3,Demographic
District_Galle,categorical__District_Galle,0.004024243688833281,-0.0011873936651964692,3,Demographic
District_Gampaha,categorical__District_Gampaha,0.009660799245474775,0.005371291498701167,3,Demographic
District_Kalutara,categorical__District_Kalutara,0.01126945236672258,0.0036761315206956056,3,Demographic
District_Kandy,categorical__District_Kandy,0.007029161616131395,0.0005538127333921724,3,Demographic
District_Kegalle,categorical__District_Kegalle,0.00037740431146532203,6.384355590098612e-05,3,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.002408679017537462,9.113920606898585e-05,3,Demographic
District_Matara,categorical__District_Matara,0.0032343941863689878,-0.0014418383722367794,3,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,0.0006044385081976527,-2.2152196635516433e-05,3,Demographic
District_Puttalam,categorical__District_Puttalam,0.0009792601560835012,-0.0002986396220680182,3,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.003628865178162096,-0.0006300667012633086,3,Demographic
District_infrequent_sklearn,categorical__District_infrequent_sklearn,0.013285610296941608,0.0004791531582503519,3,Demographic
MediumAL_E,categorical__MediumAL_E,0.00025175210720246733,8.589189539848888e-05,3,Demographic
MediumAL_S,categorical__MediumAL_S,0.000710082426508927,-3.2487431278186275e-05,3,Demographic
MediumAL_T,categorical__MediumAL_T,0.0009298798700710702,0.0001267041855293145,3,Demographic
Zscore,numeric__Zscore,0.01846442379459024,0.006549045024067767,4,Pre-academic
English,numeric__English,0.002408440857130164,0.00010168629808120513,4,Pre-academic
S1,numeric__S1,0.10321111682812502,0.052938793236826064,4,Semester GPA
S2,numeric__S2,0.06700639020029507,0.06199731128643579,4,Semester GPA
S3,numeric__S3,0.10134509777039308,0.006943826466783392,4,Semester GPA
S4,numeric__S4,0.14950454710067093,0.03821499229877925,4,Semester GPA
Maths 2,numeric__Maths 2,0.022290348233689222,-0.022078196963457267,4,Module grade
MgtAccounting,numeric__MgtAccounting,0.004899590761808149,-0.0041041446942004295,4,Module grade
StatsII,numeric__StatsII,0.019311430080298193,-0.007577751846693709,4,Module grade
MIS,numeric__MIS,0.014227860953965754,-0.007756216771476193,4,Module grade
DataV,numeric__DataV,0.0006960188298198535,0.0004777888800814927,4,Module grade
Missing: English,numeric__missingindicator_English,0.0003653784343214936,-0.00011142746578598712,4,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.005444083765791295,-0.0010439526714116425,4,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.001601990951891054,0.001601990951891054,4,Module grade
Missing: DataV,numeric__missingindicator_DataV,0.006630749665690394,0.006630749665690394,4,Module grade
Gender_F,categorical__Gender_F,0.0003825921445746464,-2.6952811445389284e-05,4,Demographic
Gender_M,categorical__Gender_M,0.00038259214457470763,-2.6952811445393516e-05,4,Demographic
Department_BA,categorical__Department_BA,0.009186917584321408,0.003371434528841398,4,Demographic
Department_BPM,categorical__Department_BPM,0.000806533463850195,-0.000194680491274185,4,Demographic
Department_FSM,categorical__Department_FSM,0.00544762664431622,0.0013935789090111282,4,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.0009868082777408325,7.774853097351997e-05,4,Demographic
District_Badulla,categorical__District_Badulla,0.0008225629377647359,-9.139588197385925e-05,4,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.0007892219081997001,0.00024414778455098587,4,Demographic
District_Colombo,categorical__District_Colombo,0.005606416194499555,0.0012447145416359566,4,Demographic
District_Galle,categorical__District_Galle,0.00303944554904724,-0.0008968190471821617,4,Demographic
District_Gampaha,categorical__District_Gampaha,0.004883219673879985,0.0027150130806090256,4,Demographic
District_Kalutara,categorical__District_Kalutara,0.0037501044990173892,0.0012232961200003246,4,Demographic
District_Kandy,categorical__District_Kandy,0.0006229392385185985,4.9080061216616795e-05,4,Demographic
District_Kegalle,categorical__District_Kegalle,0.000934892099176672,0.00015815091185215606,4,Demographic
District_Kurunegala,categorical__District_Kurunegala,0.0005132659770292939,-1.9420874806513765e-05,4,Demographic
District_Matara,categorical__District_Matara,0.0012151324938371136,-0.0005416855695418466,4,Demographic
District_Nuwaraeliya,categorical__District_Nuwaraeliya,5.003981723593932e-05,1.8339200034113698e-06,4,Demographic
District_Puttalam,categorical__District_Puttalam,0.0012092539370627494,-0.00036877956945885427,4,Demographic
District_Ratnapura,categorical__District_Ratnapura,0.003320438163682977,-0.000576515637210891,4,Demographic
District_infrequent_sklearn,categorical__District_infrequent_sklearn,0.008384389638046027,0.00030238782301149613,4,Demographic
MediumAL_E,categorical__MediumAL_E,0.0020260672287657116,-0.0006912464662847727,4,Demographic
MediumAL_S,categorical__MediumAL_S,0.005409854203230709,-0.0002475096694288563,4,Demographic
MediumAL_T,categorical__MediumAL_T,0.0003872186370366609,5.276189280638108e-05,4,Demographic
Zscore,numeric__Zscore,0.009019090124300572,0.003198931521354858,5,Pre-academic
English,numeric__English,0.018313477700418353,0.0007732096666750738,5,Pre-academic
S1,numeric__S1,0.06861474411990448,0.03519370648813217,5,Semester GPA
S2,numeric__S2,0.0797881795407493,0.07382359487176308,5,Semester GPA
S3,numeric__S3,0.10163771073180936,0.006963875326281362,5,Semester GPA
S4,numeric__S4,0.08032391462309657,0.020531668355628654,5,Semester GPA
S5,numeric__S5,0.10329162437821082,0.03554797552428035,5,Semester GPA
Maths 2,numeric__Maths 2,0.013721814654032988,0.013591215509586212,5,Module grade
MgtAccounting,numeric__MgtAccounting,0.0037335662102635,-0.0031274236354066633,5,Module grade
StatsII,numeric__StatsII,0.026816352163283243,-0.010522662551761193,5,Module grade
MIS,numeric__MIS,0.008770318589374333,-0.004781076533864636,5,Module grade
DataV,numeric__DataV,0.005063406446968816,0.0034758244921632357,5,Module grade
Missing: English,numeric__missingindicator_English,0.0012332178862438994,-0.00037608772417367154,5,Pre-academic
Missing: StatsII,numeric__missingindicator_StatsII,0.00661960214811069,-0.0012693690331559318,5,Module grade
Missing: MIS,numeric__missingindicator_MIS,0.0021800110144913044,-0.0021800110144913044,5,Module grade
Missing: DataV,numeric__missingindicator_DataV,0.008503968732018453,0.008503968732018453,5,Module grade
Gender_F,categorical__Gender_F,0.0024927314285600618,-0.00017560768335343234,5,Demographic
Gender_M,categorical__Gender_M,0.0024927314285600717,-0.00017560768335343258,5,Demographic
Department_BA,categorical__Department_BA,0.0029864398807917833,0.0010959700508899406,5,Demographic
Department_BPM,categorical__Department_BPM,0.008582070126957381,-0.002071534168575922,5,Demographic
Department_FSM,categorical__Department_FSM,0.00654626276196613,0.0016746253577122642,5,Demographic
District_Anuradhapura,categorical__District_Anuradhapura,0.0006035791740177241,4.755472280139624e-05,5,Demographic
District_Badulla,categorical__District_Badulla,0.0005325121088318236,-5.916801209242487e-05,5,Demographic
District_Batticaloa,categorical__District_Batticaloa,0.002205274621558922,-0.0006822072570290182,5,Demographic
District_Colombo,categorical__District_Colombo,0.009216969906118222,0.002046315520282278,5,Demographic
